"screen_id","screen_name","group_code","group_name","doc_ref","roles","platforms","viewports_px","phase","states","state_count","components","frame_count","flows","acc_criteria","design_file","status","decision_applied","design_status","frame_ref","frames_drawn","frames_required"
"HOME-01","رئيسية المالك","HOME","مساحة العمل","٣،١٤","مالك، مدير فرع، كاشير، أمين مخزن","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty stale offline pending_sync","6","C-FRAME C-TABLE C-SYNC C-FILTER","36","","","03-D2-POS.dc.html","owner_approved","","drawn","06-D2-Shifts-Access.dc.html#HOME-01","1","6","36"
"HOME-02","رئيسية الموظف حسب الصلاحية","HOME","مساحة العمل","٣،١٤","مالك، مدير فرع، كاشير، أمين مخزن","W/M/D","390 834 1366 1440 1920","أساسي","ready empty permission_denied offline stale","5","C-FRAME C-NAV C-NOTICE","30","","","03-D2-POS.dc.html","owner_approved","","drawn","06-D2-Shifts-Access.dc.html#HOME-02","1","5","30"
"HOME-03","بحث عام وإشعارات سريعة","HOME","مساحة العمل","٣،١٤","مالك، مدير فرع، كاشير، أمين مخزن","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty permission_denied offline","5","C-PICK C-TIMELIST C-NOTICE","30","","","03-D2-POS.dc.html","owner_approved","","drawn","31-D23-Catalog-Home-Shift.dc.html#HOME-03","0","7","30"
"POS-01","نقطة البيع والسلة","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty offline stale permission_denied","6","C-CART C-PICK C-QTYUNIT C-SYNC","36","F01 F02","ACC-07 ACC-17 ACC-25 ACC-76 ACC-92 ACC-114 ACC-136","03-D2-POS.dc.html","owner_approved","","drawn","03-D2-POS.dc.html#POS-01","1","1","36"
"POS-02","اختيار وحدة أو وزن","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error empty","3","C-QTYUNIT C-SHEET C-DIALOG","18","","ACC-19 ACC-20","03-D2-POS.dc.html","owner_approved","","drawn","03-D2-POS.dc.html#POS-02","2","4","18"
"POS-03","خصم وتجاوز سعر","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied","3","C-MONEY C-DIALOG C-FIELD","18","","","03-D2-POS.dc.html","owner_approved","G-09 سقوف التفويض المالي","drawn","03-D2-POS.dc.html#POS-03","2","2","18"
"POS-04","اختيار عميل وإنشاء سريع","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready empty validation_error permission_denied offline","5","C-PICK C-FIELD C-NOTICE","30","F02","ACC-12","03-D2-POS.dc.html","owner_approved","","drawn","03-D2-POS.dc.html#POS-04","1","1","30"
"POS-05","الدفع النقدي","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error saving saved_local success","5","C-MONEY C-CART C-BTN","30","","ACC-12 ACC-24","03-D2-POS.dc.html","owner_approved","","drawn","03-D2-POS.dc.html#POS-05","2","2","30"
"POS-06","الدفع الآجل","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied stale saved_local","5","C-MONEY C-LEDLINE C-SYNC","30","","ACC-02","03-D2-POS.dc.html","owner_approved","","drawn","03-D2-POS.dc.html#POS-06","1","1","30"
"POS-07","الدفع المختلط والتحويل","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error saving saved_local success server_error partial","7","C-MONEY C-CART C-NOTICE","42","F02","ACC-08 ACC-13 ACC-14 ACC-24","03-D2-POS.dc.html","owner_approved","","drawn","14-D9-POS-Inventory-States.dc.html#POS-07","0","1","42"
"POS-08","نجاح البيع والإيصال","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","saved_local pending_sync synced success server_error","5","C-PRINT C-DOCPRV C-SYNC","30","F02 F04","ACC-09 ACC-83","03-D2-POS.dc.html","owner_approved","","drawn","03-D2-POS.dc.html#POS-08","2","2","30"
"POS-09","قائمة الفواتير وتفاصيلها","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty offline stale pending_sync permission_denied","7","C-TABLE C-FILTER C-SYNC","42","F04","ACC-77","03-D2-POS.dc.html","owner_approved","","drawn","03-D2-POS.dc.html#POS-09","1","1","42"
"POS-10","مرتجع كلي أو جزئي","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied partial saved_local success","6","C-QTYUNIT C-MONEY C-DIALOG","36","F04","ACC-09 ACC-10 ACC-11","03-D2-POS.dc.html","owner_approved","","drawn","03-D2-POS.dc.html#POS-10","1","1","36"
"POS-11","فشل الحفظ أو الطباعة","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","offline saved_local validation_error server_error","4","C-NOTICE C-PRINT C-SYNC","24","","ACC-01 ACC-30 ACC-43 ACC-69 ACC-84","03-D2-POS.dc.html","owner_approved","","drawn","33-D25-Failure-Payment-Closure.dc.html#POS-11","0","6","24"
"POS-12","مراجعة تكرار تجاري أو تصحيح","POS","البيع والفواتير","٦،٧،١٠،١٢","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready empty conflict permission_denied","4","C-TABLE C-DOCPRV C-DIALOG","24","","ACC-16","03-D2-POS.dc.html","owner_approved","","drawn","03-D2-POS.dc.html#POS-12","1","1","24"
"PTY-01","قائمة العملاء","PTY","الأطراف والذمم","٥،٦،٧","مالك، مدير فرع، كاشير (محدود)","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty permission_denied offline stale","6","C-TABLE C-FILTER C-PICK","36","F03","","04-D2-Parties.dc.html","owner_approved","","drawn","04-D2-Parties.dc.html#PTY-01","1","6","36"
"PTY-02","قائمة الموردين","PTY","الأطراف والذمم","٥،٦،٧","مالك، مدير فرع، كاشير (محدود)","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty permission_denied","4","C-TABLE C-FILTER C-NOTICE","24","","ACC-118","04-D2-Parties.dc.html","owner_approved","","drawn","04-D2-Parties.dc.html#PTY-02","1","4","24"
"PTY-03","بطاقة طرف وإنشاء وتعديل","PTY","الأطراف والذمم","٥،٦،٧","مالك، مدير فرع، كاشير (محدود)","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error saving success permission_denied conflict","6","C-FIELD C-PANEL C-STATUS","36","","ACC-28 ACC-106","04-D2-Parties.dc.html","owner_approved","","drawn","04-D2-Parties.dc.html#PTY-03","1","6","36"
"PTY-04","رصيد افتتاحي","PTY","الأطراف والذمم","٥،٦،٧","مالك، مدير فرع، كاشير (محدود)","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied success","4","C-MONEY C-DOCPRV C-DIALOG","24","","ACC-79","04-D2-Parties.dc.html","owner_approved","","drawn","04-D2-Parties.dc.html#PTY-04","1","4","24"
"PTY-05","كشف حساب","PTY","الأطراف والذمم","٥،٦،٧","مالك، مدير فرع، كاشير (محدود)","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty stale pending_sync offline permission_denied","7","C-LEDLINE C-FILTER C-SYNC","42","F02 F03","ACC-02 ACC-03 ACC-08 ACC-28 ACC-44 ACC-46 ACC-92 ACC-96","04-D2-Parties.dc.html","owner_approved","","drawn","04-D2-Parties.dc.html#PTY-05","1","7","42"
"PTY-06","تسجيل سداد أو رد مبلغ","PTY","الأطراف والذمم","٥،٦،٧","مالك، مدير فرع، كاشير (محدود)","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error saving saved_local success permission_denied","6","C-MONEY C-PRINT C-FIELD","36","F03","ACC-03 ACC-14 ACC-15","04-D2-Parties.dc.html","owner_approved","","drawn","33-D25-Failure-Payment-Closure.dc.html#PTY-06","0","8","36"
"PTY-07","دمج أطراف","PTY","الأطراف والذمم","٥،٦،٧","مالك، مدير فرع، كاشير (محدود)","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied conflict success","5","C-DIALOG C-DOCPRV C-NOTICE","30","","ACC-78","04-D2-Parties.dc.html","owner_approved","","drawn","04-D2-Parties.dc.html#PTY-07","1","5","30"
"PTY-08","طباعة وتصدير ومشاركة الكشف","PTY","الأطراف والذمم","٥،٦،٧","مالك، مدير فرع، كاشير (محدود)","W/M/D","390 834 1366 1440 1920","أساسي","ready loading permission_denied success server_error","5","C-DOCPRV C-PRINT C-AUD","30","F03","ACC-85","04-D2-Parties.dc.html","owner_approved","","drawn","04-D2-Parties.dc.html#PTY-08","2","6","30"
"PTY-09","تصحيح تاريخ الأعمال","PTY","الأطراف والذمم","٥،٦،٧","مالك، مدير فرع، كاشير (محدود)","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied success","4","C-FIELD C-DIALOG C-NOTICE","24","","","04-D2-Parties.dc.html","owner_approved","","drawn","04-D2-Parties.dc.html#PTY-09","1","4","24"
"CAT-01","قائمة الأصناف والبحث","CAT","الكتالوج الداخلي","٦،٧،١١","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty offline stale","5","C-TABLE C-FILTER C-PICK","30","","ACC-45","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","05-D2-Catalog-Inventory.dc.html#CAT-01","1","5","30"
"CAT-02","إنشاء صنف وبطاقته","CAT","الكتالوج الداخلي","٦،٧،١١","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error saving success","4","C-FIELD C-UPLOAD C-PANEL","24","","ACC-25","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","31-D23-Catalog-Home-Shift.dc.html#CAT-02","0","6","24"
"CAT-03","وحدات وتحويلات وباركود","CAT","الكتالوج الداخلي","٦،٧،١١","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error success","3","C-QTYUNIT C-TABLE C-DIALOG","18","","ACC-19","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","05-D2-Catalog-Inventory.dc.html#CAT-03","1","3","18"
"CAT-04","سعر صنف وتاريخ تغييره","CAT","الكتالوج الداخلي","٦،٧،١١","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied success","4","C-MONEY C-TIMELIST","24","","ACC-19","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","05-D2-Catalog-Inventory.dc.html#CAT-04","1","4","24"
"CAT-05","استيراد أو تعديل أسعار متعدد","CAT","الكتالوج الداخلي","٦،٧،١١","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready loading validation_error partial success server_error","6","C-UPLOAD C-TABLE C-DOCPRV","36","","ACC-86","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","05-D2-Catalog-Inventory.dc.html#CAT-05","1","6","36"
"CAT-06","مجموعات الأصناف والأسماء البديلة","CAT","الكتالوج الداخلي","٦،٧،١١","مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready empty validation_error success","4","C-TABLE C-FIELD C-PICK","24","","","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","31-D23-Catalog-Home-Shift.dc.html#CAT-06","0","6","24"
"INV-01","أرصدة المخزون","INV","المخزون","٧،١٠","أمين مخزن، مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty stale offline pending_sync partial","7","C-TABLE C-FILTER C-SYNC C-STATUS","42","F06","ACC-17","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","05-D2-Catalog-Inventory.dc.html#INV-01","1","7","42"
"INV-02","سجل حركة الصنف","INV","المخزون","٧،١٠","أمين مخزن، مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty pending_sync stale","5","C-TIMELIST C-TABLE C-SYNC","30","","","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","14-D9-POS-Inventory-States.dc.html#INV-02","3","5","30"
"INV-03","افتتاحيات المخزون","INV","المخزون","٧،١٠","أمين مخزن، مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied success","4","C-QTYUNIT C-DOCPRV C-TABLE","24","","","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#INV-03","2","4","24"
"INV-04","استلام بضاعة","INV","المخزون","٧،١٠","أمين مخزن، مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error saving saved_local success","5","C-QTYUNIT C-PICK C-FIELD","30","F06","","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#INV-04","2","5","30"
"INV-05","جلسة جرد","INV","المخزون","٧،١٠","أمين مخزن، مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready saving saved_local partial offline success","6","C-QTYUNIT C-TABLE C-SYNC","36","F06","","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","05-D2-Catalog-Inventory.dc.html#INV-05","1","6","36"
"INV-06","مراجعة فروق الجرد وتسوية","INV","المخزون","٧،١٠","أمين مخزن، مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied success","4","C-TABLE C-DIALOG C-DOCPRV","24","F06","","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#INV-06","4","4","24"
"INV-07","هالك وحجر تالف","INV","المخزون","٧،١٠","أمين مخزن، مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied success","4","C-QTYUNIT C-STATUS C-FIELD","24","","ACC-10","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","05-D2-Catalog-Inventory.dc.html#INV-07","1","4","24"
"INV-08","قائمة التحويلات","INV","المخزون","٧،١٠","أمين مخزن، مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty partial pending_sync","5","C-TABLE C-STATUS C-FILTER","30","","","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","14-D9-POS-Inventory-States.dc.html#INV-08","1","5","30"
"INV-09","إنشاء وإرسال تحويل","INV","المخزون","٧،١٠","أمين مخزن، مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error saving saved_local success partial","6","C-PICK C-QTYUNIT C-DOCPRV","36","","","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#INV-09","3","6","36"
"INV-10","استلام تحويل جزئي ومراجعة فرق","INV","المخزون","٧،١٠","أمين مخزن، مالك، مدير فرع","W/M/D","390 834 1366 1440 1920","أساسي","ready partial validation_error conflict success","5","C-RECV C-QTYUNIT C-NOTICE","30","","ACC-18","05-D2-Catalog-Inventory.dc.html","owner_approved","","drawn","05-D2-Catalog-Inventory.dc.html#INV-10","1","5","30"
"PUR-01","قائمة أوامر شراء داخلية وتفاصيل","PUR","المشتريات والتكلفة","٧،١٦،١٩","مالك، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","مشروط","ready loading empty permission_denied","4","C-TABLE C-FILTER C-PHASE","24","","","05-D2-Catalog-Inventory.dc.html","owner_approved","G-03 عقد التكلفة","drawn","32-D24-Purchasing-Growth.dc.html#PUR-01","0","6","24"
"PUR-02","إنشاء أمر شراء داخلي","PUR","المشتريات والتكلفة","٧،١٦،١٩","مالك، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","مشروط","ready validation_error saving success","4","C-QTYUNIT C-MONEY C-PHASE","24","","","05-D2-Catalog-Inventory.dc.html","owner_approved","G-03 عقد التكلفة","drawn","32-D24-Purchasing-Growth.dc.html#PUR-02","0","6","24"
"PUR-03","مستند شراء واعتماده","PUR","المشتريات والتكلفة","٧،١٦،١٩","مالك، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","مشروط","ready validation_error permission_denied success","4","C-DOCPRV C-DIALOG C-PHASE","24","","","05-D2-Catalog-Inventory.dc.html","owner_approved","G-03 عقد التكلفة","drawn","32-D24-Purchasing-Growth.dc.html#PUR-03","0","6","24"
"PUR-04","مرتجع مشتريات","PUR","المشتريات والتكلفة","٧،١٦،١٩","مالك، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","مشروط","ready validation_error partial success","4","C-QTYUNIT C-DOCPRV C-PHASE","24","","","05-D2-Catalog-Inventory.dc.html","owner_approved","G-03 عقد التكلفة","drawn","32-D24-Purchasing-Growth.dc.html#PUR-04","0","6","24"
"PUR-05","التكلفة والهامش","PUR","المشتريات والتكلفة","٧،١٦،١٩","مالك، مسؤول مشتريات","W/M/D","390 834 1366 1440 1920","مشروط","ready empty permission_denied phase_locked","4","C-TABLE C-PHASE C-NOTICE","24","","ACC-90","05-D2-Catalog-Inventory.dc.html","owner_approved","G-03 عقد التكلفة","drawn","32-D24-Purchasing-Growth.dc.html#PUR-05","0","6","24"
"SHIFT-01","فتح وردية","SHIFT","الورديات والصندوق","١٠","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error offline saved_local success","5","C-MONEY C-FIELD C-SYNC","30","F01 F05","ACC-34","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","06-D2-Shifts-Access.dc.html#SHIFT-01","1","5","30"
"SHIFT-02","الوردية الحالية","SHIFT","الورديات والصندوق","١٠","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready loading offline pending_sync stale","5","C-TABLE C-MONEY C-SYNC","30","F05","ACC-08 ACC-13 ACC-34 ACC-66","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","06-D2-Shifts-Access.dc.html#SHIFT-02","2","5","30"
"SHIFT-03","حركة صندوق وتسوية","SHIFT","الورديات والصندوق","١٠","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied success","4","C-MONEY C-FIELD C-DIALOG","24","","","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","31-D23-Catalog-Home-Shift.dc.html#SHIFT-03","0","6","24"
"SHIFT-04","إغلاق وعد صندوق","SHIFT","الورديات والصندوق","١٠","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error partial saved_local success","5","C-MONEY C-DOCPRV C-NOTICE","30","F05","ACC-67","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","33-D25-Failure-Payment-Closure.dc.html#SHIFT-04","0","7","30"
"SHIFT-05","مراجعة فروق وعمليات متأخرة","SHIFT","الورديات والصندوق","١٠","كاشير، مدير فرع، مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready empty conflict permission_denied stale","5","C-TABLE C-STATUS C-NOTICE","30","F05","ACC-67 ACC-68","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","06-D2-Shifts-Access.dc.html#SHIFT-05","1","5","30"
"ORG-01","المستخدمون والدعوات","ORG","إدارة المنشأة","٩،١٠،١١،١٦","مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty validation_error expired success","6","C-TABLE C-STATUS C-DIALOG","36","","","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","27-D20-Org-Orders-Complete.dc.html#ORG-01","2","6","36"
"ORG-02","مصفوفة الأدوار والصلاحيات","ORG","إدارة المنشأة","٩،١٠،١١،١٦","مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied success","4","C-TABLE C-FIELD C-MONEY","24","","ACC-44 ACC-46 ACC-62","07-D3-Admin-Reports-Sync.dc.html","owner_approved","G-09 سقوف التفويض المالي","drawn","07-D3-Admin-Reports-Sync.dc.html#ORG-02","2","4","24"
"ORG-03","الفروع وتفاصيلها","ORG","إدارة المنشأة","٩،١٠،١١،١٦","مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready empty validation_error permission_denied","4","C-TABLE C-FIELD C-STATUS","24","","ACC-42","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","15-D10-Parties-Shifts-Org.dc.html#ORG-03","1","4","24"
"ORG-04","قائمة الأجهزة وتفاصيلها","ORG","إدارة المنشأة","٩،١٠،١١،١٦","مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty offline stale","5","C-TABLE C-SYNC C-STATUS","30","","ACC-71 ACC-102","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","15-D10-Parties-Shifts-Org.dc.html#ORG-04","3","5","30"
"ORG-05","سحب مستخدم أو نطاق أو جهاز","ORG","إدارة المنشأة","٩،١٠،١١،١٦","مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied pending_sync success","5","C-DIALOG C-NOTICE C-SYNC","30","F08","ACC-45 ACC-63 ACC-64","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","20-D15-Org-Access-Closure.dc.html#ORG-05","2","5","30"
"ORG-06","الاشتراك والباقات","ORG","إدارة المنشأة","٩،١٠،١١،١٦","مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready loading permission_denied expired","4","C-TABLE C-STATUS C-PHASE","24","F17","ACC-82 ACC-104","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","21-D16-Subscription-Customer-Public.dc.html#ORG-06","3","4","24"
"ORG-07","إثبات تحويل الاشتراك ومراجعته","ORG","إدارة المنشأة","٩،١٠،١١،١٦","مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error saving success server_error","5","C-UPLOAD C-STATUS C-DOCPRV","30","F17","","07-D3-Admin-Reports-Sync.dc.html","owner_approved","","drawn","27-D20-Org-Orders-Complete.dc.html#ORG-07","4","5","30"
"ORG-08","انتهاء الاشتراك","ORG","إدارة المنشأة","٩،١٠،١١،١٦","مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready expired permission_denied","3","C-NOTICE C-PHASE C-STATUS","18","F17","ACC-80 ACC-81 ACC-82","07-D3-Admin-Reports-Sync.dc.html","owner_approved","G-08 قائمة وظائف POS المستمرة","drawn","07-D3-Admin-Reports-Sync.dc.html#ORG-08","1","3","18"
"ORG-09","إعدادات المنشأة واللغة والقوالب","ORG","إدارة المنشأة","٩،١٠،١١،١٦","مالك","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error success conflict","4","C-FIELD C-DOCPRV C-PICK","24","","ACC-27","07-D3-Admin-Reports-Sync.dc.html","owner_approved","G-01 نمط الأرقام","drawn","13-D8-Decisions-Applied.dc.html#ORG-09","3","4","24"
